Epoch: 74; Loss: 0.5363191543398677; Val_loss: 0.5351596953302357
Epoch: 75; Loss: 0.536228131281363; Val_loss: 0.534988089316682
Epoch: 76; Loss: 0.5361860710221368; Val_loss: 0.5352605476009801
Epoch: 77; Loss: 0.5360874907390492; Val_loss: 0.5348838389752932
Epoch: 78; Loss: 0.5359964428721248; Val_loss: 0.5347311619427789
Epoch: 79; Loss: 0.5359074692468385; Val_loss: 0.5347176307795766
Epoch: 80; Loss: 0.5358355219299729; Val_loss: 0.5344587340288272
Epoch: 81; Loss: 0.5357557496509037; Val_loss: 0.534686347656662
Epoch: 82; Loss: 0.5357296495824246; Val_loss: 0.5346169313451387
Epoch: 83; Loss: 0.5355868481300973; Val_loss: 0.5346276401110193
